# Universo Garimpo Alpha B3 = carteira IBrX-100 (IBXX) de 06/07/2026
# tickers: carteira B3 | cnpj + setor_economico: cadastro CVM (SETOR_ATIV)
# setor (operacional/financeiro) = chave metodologica: financeiro nao recebe EV/EBITDA nem DCF
# B3SA3=operacional (tem EBITDA), BRAP4=financeiro (holding), por decisao do analista
# free_float = Qtde. Teorica da carteira B3 (ancora de escala do nº de acoes)
ticker,cnpj,setor,setor_economico,free_float
TEND3,71.476.527/0001-35,operacional,Consumo Ciclico,114768786
TIMS3,02.421.421/0001-11,operacional,Comunicacoes,777451080
TOTS3,53.113.791/0001-22,operacional,Tecnologia,533997411
UGPA3,33.256.439/0001-39,operacional,Petroleo e Gas,1067870496
USIM5,60.894.730/0001-05,operacional,Materiais Basicos,518256757
VALE3,33.592.510/0001-54,operacional,Materiais Basicos,4268646710
VAMO3,23.373.000/0001-32,operacional,Bens Industriais,448052066
VBBR3,34.274.233/0001-02,operacional,Consumo Ciclico,1192004780
VIVA3,33.839.910/0001-11,operacional,Consumo Ciclico,123698325
VIVT3,02.558.157/0001-62,operacional,Comunicacoes,707125712
WEGE3,84.429.695/0001-11,operacional,Bens Industriais,1485954732
YDUQ3,08.807.432/0001-10,operacional,Consumo Ciclico,261365845
